date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-04-06 00:00:00,51081.07663633373,51840.960421006464,49941.25095932464,50667.362131345246,99834601270,1663668,1759,50532.27168073676,50101.67086942221
2021-04-07 00:00:00,49662.62690494464,51173.95132112707,49654.1837517816,49713.285823922815,141681138760,2406359,1664,50667.362131345246,49654.1837517816
2021-04-10 00:00:00,48725.43690384826,49645.74059861857,48725.43690384826,48725.43690384826,183276093520,3175579,1344,49713.285823922815,48725.43690384826
2021-04-11 00:00:00,47889.56474070825,48548.13068742462,47754.474290099766,47957.1099660125,130002864140,2288687,1669,48725.43690384826,47889.56474070825
2021-04-12 00:00:00,47712.25852428462,50827.78204144282,47391.41870408946,50067.89825677009,246099036670,4149960,2704,47957.1099660125,50827.78204144282
2021-04-13 00:00:00,52347.54961078829,53065.21762964587,51570.779519789496,52896.354566385264,436446348500,6966964,4500,50067.89825677009,53065.21762964587
2021-04-14 00:00:00,53411.38690933012,54720.07564959982,51925.39195263677,53174.97862076527,268742444200,4267276,3820,52896.354566385264,52364.43591711435
2021-04-17 00:00:00,52119.58447538647,52263.11807915798,52119.58447538647,52161.80024120162,94405674860,1529294,919,53174.97862076527,52119.58447538647
2021-04-18 00:00:00,51123.29240214889,51216.167086942216,51123.29240214889,51123.29240214889,116492940560,1923893,849,52161.80024120162,51123.29240214889
2021-04-19 00:00:00,50101.67086942221,52330.66330446223,50101.67086942221,51005.08825786646,183788603870,3042219,2277,51123.29240214889,51249.93969959434
2021-04-20 00:00:00,50667.362131345246,52220.90231334284,50017.23933779191,51047.30402368161,156210767340,2583624,2332,51005.08825786646,50405.6243832913
2021-04-21 00:00:00,49983.46672513978,51503.23429448525,49603.52483280342,50160.772941563424,73845533030,1248907,1421,51047.30402368161,49823.04681504221
2021-04-24 00:00:00,49561.309066988266,50397.18123012827,48657.891678544016,48885.85681394584,109570864230,1892556,1799,50160.772941563424,48691.66429119614
2021-04-25 00:00:00,47425.191316741584,48294.83609253371,47425.191316741584,47543.39546102401,216894449800,3851452,1914,48885.85681394584,47425.191316741584
2021-04-26 00:00:00,47290.1008661331,50388.738076965245,47290.1008661331,50211.431860541605,548178918610,9217278,3933,47543.39546102401,50380.29492380221
2021-04-27 00:00:00,51030.41771735555,52018.2666374301,49544.42276066221,50768.67996930161,318873468350,5302977,4154,50211.431860541605,49932.8078061616
2021-04-28 00:00:00,49983.46672513978,51030.41771735555,49823.04681504221,50473.16960859555,116391340010,1946989,2154,50768.67996930161,50236.761320030695
2021-05-01 00:00:00,49721.72897708584,51224.61024010525,48961.84519241311,49215.13978730402,169411162760,2906333,1865,50473.16960859555,48970.28834557614
2021-05-02 00:00:00,49037.83357088039,49037.83357088039,47746.03113693674,47881.121587545225,108880684090,1920066,1852,49215.13978730402,47872.67843438219
2021-05-03 00:00:00,47045.249424405214,47872.67843438219,46867.94320798158,47442.07762306764,74138178690,1322591,1582,47881.121587545225,47661.59960530643
2021-05-05 00:00:00,46867.94320798158,49755.50158973796,46867.94320798158,48370.82447100098,100970800110,1762401,1884,47442.07762306764,48353.93816467493
2021-05-08 00:00:00,48472.14230895735,48970.28834557614,46927.0452801228,47433.63446990462,125594171390,2235396,2195,48370.82447100098,47543.39546102401
2021-05-09 00:00:00,46454.22870299309,46927.0452801228,46015.18473851551,46048.95735116764,169538161470,3108244,1702,47433.63446990462,46015.18473851551
2021-05-10 00:00:00,44757.15491722399,47999.32573182765,44757.15491722399,46791.9548295143,105628058790,1905960,1966,46048.95735116764,47957.1099660125
2021-05-11 00:00:00,47138.12410919855,49595.08167964039,47138.12410919855,49375.5596974016,196174436650,3354807,1959,46791.9548295143,49595.08167964039
2021-05-12 00:00:00,50658.91897818221,51334.37123122464,49502.20699484705,50093.22771625918,136304625000,2297546,2585,49375.5596974016,49797.71735555312
2021-05-15 00:00:00,49392.44600372766,51503.23429448525,49392.44600372766,50599.816906041,94330763060,1572984,1806,50093.22771625918,50405.6243832913
2021-05-16 00:00:00,51047.30402368161,51334.37123122464,49029.39041771735,50371.85177063918,110504146060,1852250,1910,50599.816906041,49603.52483280342
2021-05-17 00:00:00,49392.44600372766,51908.50564631071,49392.44600372766,51165.50816796404,149576615060,2468214,2256,50371.85177063918,50405.6243832913
2021-05-18 00:00:00,49814.60366187918,52060.48240324525,49814.60366187918,51266.8260059204,167269318670,2754814,2089,51165.50816796404,50633.58951869312
2021-05-19 00:00:00,49814.60366187918,51503.23429448525,49569.7522201513,50414.067536454335,78850126880,1326715,1367,51266.8260059204,49814.60366187918
2021-05-22 00:00:00,49147.59456199978,49409.33231005372,47898.00789387128,48125.973029273104,154963768000,2718774,1559,50414.067536454335,47898.00789387128
2021-05-23 00:00:00,46437.34239666703,48700.10744435917,46437.34239666703,47686.92906479553,76073005410,1349944,1560,48125.973029273104,47830.462668567045
2021-05-24 00:00:00,46420.45609034097,48294.83609253371,46420.45609034097,47661.59960530643,87834723220,1555899,1452,47686.92906479553,47636.27014581734
2021-05-25 00:00:00,48328.60870518584,50042.568797281,48328.60870518584,49763.944742901,292492091090,4962478,2626,47661.59960530643,50042.568797281
2021-05-26 00:00:00,50447.84014910646,51916.94879947374,49814.60366187918,50929.09987939919,293495005660,4865719,2995,49763.944742901,50895.32726674707
2021-05-29 00:00:00,50743.35050981252,53470.48898147133,50743.35050981252,53124.31970178709,300061215860,4769209,3536,50929.09987939919,53470.48898147133
2021-05-30 00:00:00,55724.81087600044,55724.81087600044,52440.42429558162,53757.55618901436,261146001540,4101659,3570,53124.31970178709,52904.797719548296
2021-05-31 00:00:00,52347.54961078829,53808.21510799254,51503.23429448525,52955.45663852648,170906001740,2724816,2037,53757.55618901436,53039.88817015678
2021-06-01 00:00:00,53183.4217739283,54205.04330665497,50667.362131345246,53014.55871066769,109249794820,1740043,1546,52955.45663852648,52752.82096261375
2021-06-02 00:00:00,53478.93213463436,55176.00592040346,53191.86492709132,54314.80429777437,181776151000,2825804,2300,53014.55871066769,54525.88312685012
2021-06-07 00:00:00,54534.32628001316,56290.50213792347,54534.32628001316,55674.15195702225,156396546340,2371965,2471,54314.80429777437,55885.230786098015
2021-06-08 00:00:00,55868.34447977195,56400.26312904287,53276.29645872163,54669.41673062164,164279317620,2537062,2884,55674.15195702225,53698.454116873145
2021-06-09 00:00:00,53588.69312575375,55302.653217848914,53588.69312575375,54407.6789825677,67985106350,1057478,1322,54669.41673062164,54027.73709023133
2021-06-12 00:00:00,53614.02258524284,55133.79015458831,53445.15952198224,54323.24745093739,398163353570,6188442,1506,54407.6789825677,54441.45159521982
2021-06-13 00:00:00,53580.249972590726,55978.10547089135,53580.249972590726,55007.142857142855,309027508130,4743494,2220,54323.24745093739,55302.653217848914
2021-06-14 00:00:00,55049.358622958,57751.16763512773,55040.91546979498,56957.51123780287,336976678440,4994987,3975,55007.142857142855,56315.831597412565
2021-06-15 00:00:00,56991.283850455,57835.59916675803,55724.81087600044,56822.42078719439,129420622620,1922941,2235,56957.51123780287,56678.88718342287
2021-06-16 00:00:00,59659.32024997259,59659.32024997259,59659.32024997259,59659.32024997259,215521125900,3050115,1152,56822.42078719439,59659.32024997259
2021-06-19 00:00:00,62639.75331652231,62639.75331652231,62639.75331652231,62639.75331652231,249199313460,3358934,702,59659.32024997259,62639.75331652231
2021-06-20 00:00:00,65763.71998684354,65763.71998684354,63745.80638087929,65451.32331981143,2301975475900,29694480,13596,62639.75331652231,65105.15404012718
2021-06-21 00:00:00,65265.57395022475,67435.46431312356,63830.23791250959,65890.367284289,706612825250,9054514,7218,65451.32331981143,65780.6062931696
2021-06-22 00:00:00,66109.8892665278,68389.54062054599,65434.43701348536,67224.3854840478,635540928830,7981745,6073,65890.367284289,67072.40872711326
2021-06-23 00:00:00,67967.38296239448,67967.38296239448,66278.7523297884,67241.27179037387,496744550810,6237230,5654,67224.3854840478,67460.79377261265
2021-06-26 00:00:00,67545.22530424295,69757.33143295691,66380.07016774477,68144.68917881811,662864587550,8213403,6457,67241.27179037387,67545.22530424295
2021-06-27 00:00:00,68305.10908891569,71505.06413770419,67291.93070935205,70272.36377590176,849400367400,10205676,7730,68144.68917881811,70956.25918210723
2021-06-28 00:00:00,72476.0267514527,72476.0267514527,70407.45422651025,71530.39359719328,545165888130,6434594,6329,70272.36377590176,71471.29152505207
2021-06-29 00:00:00,71344.64422760662,72214.28900339875,69444.93476592479,71015.36125424843,609179993030,7242642,7554,71530.39359719328,71505.06413770419
